epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,825.919,1.01406,2.32223,1.92366,1.30607,0.7497,0.51739,0.57059,0.44758,0.73592,0.50408,0.55285,0.38343,1.00641,2.04483,1.27998,1.3249,0.000133159,0.000133159,0.000133159
2,1636.67,0.93751,1.98486,1.2215,1.22606,0.82041,0.52356,0.60012,0.47482,0.81264,0.51627,0.57959,0.40677,0.96062,2.04214,1.1118,1.28541,0.000261216,0.000261216,0.000261216
3,2445.39,0.90743,1.88526,1.10488,1.2073,0.77504,0.56401,0.62288,0.50183,0.76629,0.55913,0.60965,0.44277,0.90036,1.82109,1.04034,1.23315,0.000383992,0.000383992,0.000383992
4,3252.67,0.8634,1.78737,1.00191,1.17642,0.83076,0.62553,0.67831,0.55449,0.82673,0.61656,0.66635,0.48765,0.81056,1.66178,0.89273,1.16516,0.00037624,0.00037624,0.00037624
5,4061.53,0.80785,1.67223,0.89386,1.1391,0.85666,0.63066,0.6911,0.56686,0.85477,0.62884,0.68207,0.51736,0.79414,1.56933,0.80307,1.14643,0.00036832,0.00036832,0.00036832
6,4869.43,0.78288,1.61517,0.84938,1.1246,0.8718,0.62575,0.72731,0.60867,0.86104,0.61699,0.71399,0.54157,0.75834,1.53479,0.76945,1.10282,0.0003604,0.0003604,0.0003604
7,5676.63,0.74628,1.53722,0.78625,1.10174,0.87906,0.6575,0.7808,0.65723,0.87585,0.65341,0.77167,0.58837,0.72137,1.42235,0.70579,1.09659,0.00035248,0.00035248,0.00035248
8,6483.97,0.72259,1.49326,0.74874,1.0861,0.83332,0.70991,0.75224,0.64119,0.83024,0.70574,0.74349,0.5839,0.70398,1.40273,0.70893,1.07826,0.00034456,0.00034456,0.00034456
9,7292.02,0.70254,1.43968,0.70901,1.07269,0.82406,0.65365,0.73746,0.63068,0.82158,0.65017,0.72336,0.56315,0.66899,1.39777,0.72904,1.06712,0.00033664,0.00033664,0.00033664
10,8100.39,0.68325,1.40566,0.68797,1.06187,0.88601,0.73916,0.81892,0.69722,0.87062,0.73504,0.80507,0.62626,0.65778,1.32683,0.61637,1.05262,0.00032872,0.00032872,0.00032872
11,8908.14,0.6686,1.36788,0.6573,1.05328,0.79726,0.77979,0.8048,0.69528,0.79488,0.7712,0.79754,0.61469,0.64711,1.32129,0.60285,1.03321,0.0003208,0.0003208,0.0003208
12,9714.88,0.65451,1.32339,0.63873,1.04374,0.85588,0.77096,0.81385,0.71369,0.85231,0.76485,0.80213,0.63188,0.62745,1.30024,0.582,1.03423,0.00031288,0.00031288,0.00031288
13,10523.3,0.64571,1.31099,0.62034,1.03835,0.88292,0.77134,0.82627,0.72285,0.8779,0.76644,0.8157,0.652,0.61859,1.26273,0.56404,1.02871,0.00030496,0.00030496,0.00030496
14,11333.2,0.63428,1.28574,0.60413,1.03161,0.89134,0.75298,0.8252,0.72403,0.88898,0.74922,0.81614,0.66627,0.61444,1.2567,0.55614,1.0162,0.00029704,0.00029704,0.00029704
