epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,756.286,1.03601,2.36642,1.79175,1.31381,0.72189,0.54588,0.59077,0.42989,0.6848,0.51395,0.55383,0.33941,1.08828,2.43664,1.35127,1.35362,0.000175082,0.000175082,0.000175082
2,1496.89,0.98131,2.07445,1.21674,1.2517,0.77584,0.55851,0.64027,0.5039,0.73955,0.5463,0.61545,0.42245,0.97864,2.16001,1.18668,1.27101,0.000343477,0.000343477,0.000343477
3,2235.35,0.93927,1.96716,1.09884,1.22078,0.76983,0.62595,0.67716,0.54686,0.75578,0.61416,0.65655,0.48303,0.9186,1.88758,1.06339,1.23471,0.000504929,0.000504929,0.000504929
4,2971.12,0.89666,1.87461,1.00402,1.19663,0.80528,0.6882,0.74284,0.58979,0.81059,0.65633,0.71415,0.49086,0.89653,1.84793,0.87606,1.20095,0.000494756,0.000494756,0.000494756
5,3707.85,0.84154,1.75231,0.88859,1.15985,0.82991,0.70367,0.75517,0.62004,0.82196,0.69511,0.74103,0.55551,0.8052,1.65101,0.8084,1.16964,0.000484341,0.000484341,0.000484341
6,4445.29,0.79899,1.6604,0.82417,1.13601,0.71531,0.72909,0.79515,0.67223,0.70432,0.71894,0.78036,0.58613,0.76448,1.59124,0.74135,1.13619,0.000473926,0.000473926,0.000473926
7,5183.99,0.77035,1.60138,0.77911,1.11813,0.79138,0.75848,0.79274,0.66161,0.77808,0.73788,0.76786,0.57145,0.75511,1.57821,0.71631,1.10364,0.000463511,0.000463511,0.000463511
8,5922.85,0.74265,1.55075,0.7298,1.10025,0.81803,0.7579,0.79968,0.67474,0.80771,0.74582,0.77877,0.60242,0.73616,1.50963,0.69521,1.10885,0.000453096,0.000453096,0.000453096
9,6660.93,0.73183,1.51784,0.70817,1.08879,0.88842,0.75578,0.82627,0.69795,0.86505,0.73952,0.79945,0.61811,0.70437,1.45437,0.61771,1.06567,0.000442682,0.000442682,0.000442682
10,7399.01,0.7037,1.44603,0.67115,1.06909,0.88795,0.77621,0.83815,0.70711,0.85892,0.76195,0.81504,0.62538,0.68876,1.41678,0.59969,1.04798,0.000432267,0.000432267,0.000432267
11,8137.41,0.68805,1.41684,0.65112,1.06315,0.88522,0.79594,0.8606,0.72322,0.87865,0.78458,0.83715,0.64625,0.66325,1.36074,0.58633,1.04729,0.000421852,0.000421852,0.000421852
