epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.064,1.08704,2.48211,2.24082,1.30867,0.76159,0.48868,0.55354,0.44758,0.75138,0.47428,0.53595,0.38267,0.96852,2.02704,1.2518,1.20311,0.000133159,0.000133159,0.000133159
2,843.532,0.94881,2.00321,1.22783,1.168,0.79267,0.55281,0.62612,0.49551,0.78172,0.54267,0.61174,0.42633,0.92282,1.97104,1.02191,1.15329,0.000261216,0.000261216,0.000261216
3,1254.2,0.92042,1.90148,1.09871,1.14451,0.84994,0.56993,0.65022,0.51866,0.84977,0.56633,0.63889,0.4607,0.88495,1.82249,0.96672,1.12787,0.000383992,0.000383992,0.000383992
4,1663.21,0.88542,1.81421,1.01717,1.12287,0.81158,0.60427,0.68693,0.55569,0.80304,0.59547,0.67107,0.46457,0.82811,1.70328,0.82333,1.08232,0.00037624,0.00037624,0.00037624
5,2074.33,0.83032,1.70775,0.9108,1.09125,0.81273,0.61491,0.68753,0.56025,0.81003,0.60304,0.67864,0.49833,0.81363,1.62528,0.80103,1.06129,0.00036832,0.00036832,0.00036832
6,2483.46,0.81123,1.6667,0.87413,1.07999,0.81768,0.68888,0.74704,0.61878,0.81132,0.68253,0.73271,0.54585,0.77477,1.54439,0.74246,1.04138,0.0003604,0.0003604,0.0003604
7,2891.5,0.77514,1.58572,0.81343,1.06179,0.84536,0.69991,0.78471,0.67184,0.83724,0.69335,0.77346,0.589,0.7319,1.4479,0.69653,1.02547,0.00035248,0.00035248,0.00035248
8,3303.11,0.75412,1.53899,0.77586,1.05156,0.72558,0.76089,0.76933,0.65123,0.72169,0.75641,0.76126,0.57549,0.72374,1.45353,0.73497,1.01903,0.00034456,0.00034456,0.00034456
9,3717.81,0.73462,1.49891,0.74313,1.03903,0.81442,0.77036,0.80238,0.68797,0.80853,0.76409,0.79014,0.60268,0.6939,1.4366,0.64033,0.99426,0.00033664,0.00033664,0.00033664
10,4128.14,0.71946,1.46923,0.72116,1.03218,0.82504,0.78369,0.81312,0.69207,0.81986,0.77845,0.80204,0.62083,0.69151,1.39509,0.64121,1.00263,0.00032872,0.00032872,0.00032872
11,4536.99,0.70495,1.43142,0.69322,1.0247,0.89414,0.71593,0.81383,0.69947,0.8877,0.7085,0.80228,0.61808,0.676,1.37875,0.63045,0.98768,0.0003208,0.0003208,0.0003208
12,4946.75,0.6931,1.39229,0.67729,1.01628,0.88766,0.76572,0.82215,0.71884,0.88002,0.7593,0.80802,0.63879,0.65138,1.3179,0.59392,0.97252,0.00031288,0.00031288,0.00031288
13,5355.8,0.68314,1.38147,0.66288,1.01215,0.90711,0.7555,0.82886,0.72135,0.9033,0.75261,0.81921,0.64354,0.64306,1.30615,0.58012,0.9703,0.00030496,0.00030496,0.00030496
14,5765.11,0.67427,1.35672,0.6447,1.00683,0.88797,0.76187,0.82189,0.72225,0.88512,0.75632,0.8112,0.6424,0.6471,1.31486,0.57354,0.96889,0.00029704,0.00029704,0.00029704
15,6173.25,0.66496,1.34658,0.62724,1.00271,0.89905,0.77013,0.82998,0.71932,0.89239,0.76331,0.8176,0.63944,0.62638,1.28635,0.5594,0.95848,0.00028912,0.00028912,0.00028912
16,6582.77,0.65791,1.32357,0.62111,0.99992,0.89774,0.78625,0.83878,0.74504,0.89412,0.78304,0.82875,0.65734,0.62292,1.26704,0.54926,0.9554,0.0002812,0.0002812,0.0002812
17,6994.29,0.64681,1.29918,0.6026,0.99341,0.909,0.7684,0.84521,0.74157,0.90432,0.7652,0.83066,0.65799,0.61496,1.27103,0.54421,0.95204,0.00027328,0.00027328,0.00027328
18,7408.14,0.6367,1.29113,0.59375,0.98964,0.84908,0.7986,0.84307,0.74127,0.84465,0.79401,0.83292,0.66151,0.59982,1.23571,0.52001,0.94459,0.00026536,0.00026536,0.00026536
19,7820.47,0.62906,1.25925,0.58348,0.98572,0.88704,0.80199,0.84888,0.75291,0.88403,0.79819,0.83735,0.66372,0.59524,1.24428,0.51996,0.94259,0.00025744,0.00025744,0.00025744
20,8232.3,0.62482,1.2457,0.56566,0.98239,0.865,0.78786,0.84466,0.75474,0.86007,0.78378,0.83429,0.67711,0.59089,1.20717,0.51341,0.93484,0.00024952,0.00024952,0.00024952
21,8646.31,0.61673,1.22847,0.5586,0.97709,0.89271,0.79579,0.84578,0.75932,0.88906,0.79502,0.83822,0.6783,0.5867,1.20651,0.51105,0.9344,0.0002416,0.0002416,0.0002416
22,9060.39,0.60723,1.21337,0.54603,0.97437,0.93105,0.7774,0.85167,0.76431,0.9272,0.77295,0.83938,0.68573,0.58238,1.1914,0.49758,0.93464,0.00023368,0.00023368,0.00023368
23,9477.69,0.60656,1.2156,0.53853,0.97104,0.92187,0.7819,0.8504,0.76536,0.91982,0.77949,0.84195,0.68966,0.58152,1.17645,0.49426,0.93446,0.00022576,0.00022576,0.00022576
24,9893.68,0.60358,1.20245,0.53866,0.97129,0.9182,0.78516,0.85231,0.76186,0.9158,0.78197,0.84293,0.68908,0.57615,1.17986,0.48609,0.93334,0.00021784,0.00021784,0.00021784
25,10308.2,0.59428,1.18219,0.52577,0.96727,0.9016,0.79847,0.85133,0.76413,0.89691,0.79379,0.84133,0.6872,0.56766,1.16293,0.47876,0.92842,0.00020992,0.00020992,0.00020992
26,10720.9,0.5863,1.16826,0.51573,0.96272,0.90003,0.79696,0.84821,0.75778,0.89603,0.7937,0.83497,0.68638,0.56361,1.18557,0.47821,0.92819,0.000202,0.000202,0.000202
27,11133.4,0.58064,1.1531,0.50604,0.95982,0.91588,0.78627,0.8536,0.76818,0.91513,0.78197,0.84308,0.68713,0.56024,1.17197,0.4768,0.92423,0.00019408,0.00019408,0.00019408
28,11548.8,0.57625,1.14548,0.50101,0.95869,0.9164,0.79478,0.86011,0.77507,0.91392,0.78782,0.84894,0.69243,0.54922,1.15323,0.46209,0.91717,0.00018616,0.00018616,0.00018616
29,11963.1,0.56671,1.12799,0.49099,0.95485,0.91435,0.80332,0.8584,0.77403,0.91436,0.79692,0.84962,0.69443,0.55477,1.16572,0.46402,0.924,0.00017824,0.00017824,0.00017824
30,12381.7,0.56165,1.11694,0.48325,0.95137,0.90394,0.81658,0.86126,0.77315,0.8998,0.81237,0.84883,0.70414,0.54346,1.14722,0.4594,0.91637,0.00017032,0.00017032,0.00017032
31,12799,0.56079,1.10329,0.47631,0.95082,0.8833,0.82008,0.85789,0.77535,0.87613,0.81216,0.84535,0.70441,0.54284,1.13905,0.45714,0.91944,0.0001624,0.0001624,0.0001624
32,13213.4,0.55412,1.09218,0.46791,0.94711,0.90604,0.82428,0.85922,0.77278,0.90491,0.81351,0.8486,0.69801,0.53634,1.14568,0.44536,0.91397,0.00015448,0.00015448,0.00015448
33,13630.4,0.55166,1.08461,0.4635,0.9458,0.89107,0.82859,0.86458,0.78171,0.88639,0.8239,0.85082,0.70983,0.53232,1.13781,0.44504,0.91171,0.00014656,0.00014656,0.00014656
34,14046.8,0.54522,1.07883,0.46129,0.94532,0.88857,0.828,0.86594,0.78739,0.88999,0.8158,0.85352,0.70942,0.53143,1.1355,0.43795,0.9117,0.00013864,0.00013864,0.00013864
