epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.519,1.84323,4.18415,4.17373,1.78096,0.77909,0.10262,0.08492,0.06142,0.77305,0.09503,0.06957,0.03262,1.39631,3.5602,2.76598,1.52312,0.000132616,0.000132616,0.000132616
2,237.651,1.66873,3.75339,2.97262,1.66786,0.65507,0.1612,0.13661,0.09456,0.63402,0.14144,0.10951,0.05056,1.34984,3.35148,2.01849,1.55767,0.000255418,0.000255418,0.000255418
3,352.843,1.58786,3.62453,2.53717,1.63307,0.71428,0.15382,0.15185,0.10862,0.69463,0.13482,0.12252,0.06001,1.26315,3.26663,1.88198,1.49782,0.00036766,0.00036766,0.00036766
4,466.502,1.53917,3.58272,2.38709,1.59974,0.55178,0.19402,0.1773,0.12884,0.54744,0.17425,0.14349,0.06654,1.20794,3.22073,1.73376,1.45027,0.00035248,0.00035248,0.00035248
5,581.39,1.50454,3.53727,2.26954,1.5756,0.67447,0.19144,0.18301,0.13424,0.64417,0.16579,0.14505,0.07222,1.22298,3.24902,1.72544,1.44554,0.00033664,0.00033664,0.00033664
6,693.271,1.46965,3.4842,2.19086,1.54259,0.60128,0.20636,0.21885,0.16054,0.5771,0.18572,0.18205,0.08847,1.19107,3.11479,1.61886,1.41848,0.0003208,0.0003208,0.0003208
7,806.486,1.44506,3.42548,2.08508,1.53133,0.58567,0.24416,0.20519,0.15588,0.61561,0.2135,0.17483,0.08738,1.14529,3.14844,1.71288,1.39447,0.00030496,0.00030496,0.00030496
8,919.671,1.42412,3.4371,2.04075,1.51777,0.6157,0.25923,0.25569,0.19519,0.58071,0.25261,0.2181,0.10801,1.16348,3.08645,1.56658,1.40595,0.00028912,0.00028912,0.00028912
9,1036.88,1.39812,3.38886,1.96535,1.49339,0.55961,0.27041,0.25367,0.19401,0.68743,0.18954,0.22022,0.11609,1.13298,3.05799,1.53682,1.38357,0.00027328,0.00027328,0.00027328
10,1149.11,1.39909,3.3633,1.94271,1.50193,0.6976,0.23521,0.29102,0.22728,0.69545,0.21268,0.25411,0.12652,1.1603,3.04893,1.48887,1.40888,0.00025744,0.00025744,0.00025744
11,1263.57,1.38863,3.35388,1.90872,1.49617,0.71817,0.27968,0.31184,0.24229,0.69646,0.25922,0.26689,0.1342,1.11605,3.02629,1.3917,1.38591,0.0002416,0.0002416,0.0002416
12,1378.43,1.3833,3.35331,1.87332,1.48893,0.68992,0.28211,0.28813,0.22518,0.6956,0.21774,0.24662,0.12878,1.08079,3.03483,1.44648,1.35784,0.00022576,0.00022576,0.00022576
13,1492.97,1.35998,3.32713,1.84527,1.4667,0.68125,0.27156,0.26667,0.20432,0.66304,0.23646,0.22952,0.11695,1.11503,3.00048,1.47072,1.37966,0.00020992,0.00020992,0.00020992
14,1605.82,1.34244,3.29175,1.79515,1.4638,0.80976,0.27092,0.32953,0.26091,0.77868,0.25267,0.29042,0.15196,1.09158,2.98652,1.37894,1.35432,0.00019408,0.00019408,0.00019408
15,1719.36,1.32685,3.29877,1.75935,1.45644,0.78863,0.28385,0.31269,0.24557,0.78127,0.24052,0.27389,0.1434,1.0719,2.9438,1.41188,1.3486,0.00017824,0.00017824,0.00017824
16,1808.95,1.12852,2.93527,1.57354,1.41182,0.70832,0.26907,0.32081,0.25122,0.74083,0.25132,0.28048,0.13901,1.092,2.98471,1.37569,1.36174,0.0001624,0.0001624,0.0001624
17,1894.53,1.11081,2.9014,1.43444,1.41547,0.70229,0.30582,0.32702,0.25144,0.44787,0.3374,0.27821,0.13601,1.09105,3.00741,1.33141,1.36564,0.00014656,0.00014656,0.00014656
18,1980.09,1.09672,2.86839,1.38903,1.39702,0.78417,0.30716,0.34991,0.27494,0.76064,0.2827,0.30798,0.16012,1.0676,2.95502,1.32031,1.33832,0.00013072,0.00013072,0.00013072
19,2066,1.09032,2.8596,1.33437,1.39383,0.59179,0.3703,0.35873,0.27932,0.57294,0.34587,0.31663,0.15814,1.04946,2.92217,1.25522,1.32927,0.00011488,0.00011488,0.00011488
