epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.198,1.09066,2.19935,3.8252,1.26529,0.69374,0.19525,0.16193,0.11503,0.69376,0.19266,0.15945,0.10375,0.92286,1.59612,1.8575,1.10638,0.00332957,0.00332957,0.00332957
2,719.427,0.99989,1.75508,2.54011,1.13393,0.80534,0.27048,0.3204,0.22303,0.72344,0.31798,0.31069,0.20264,0.92422,1.65396,1.47366,1.07594,0.00658045,0.00658045,0.00658045
3,1075.85,1.07296,1.83626,2.29652,1.16362,0.52416,0.2456,0.2414,0.16142,0.51152,0.23903,0.23196,0.14118,1.20493,1.96809,2.09803,1.28348,0.00974883,0.00974883,0.00974883
4,1428.93,1.09794,1.82456,2.01066,1.1672,0.61916,0.32474,0.34492,0.24486,0.6131,0.32013,0.33098,0.2252,0.95613,1.58608,1.36057,1.09662,0.00962875,0.00962875,0.00962875
5,1778.53,1.0061,1.66355,1.64345,1.11962,0.67582,0.35282,0.39413,0.29223,0.69456,0.33868,0.38499,0.26952,0.86335,1.3885,1.17846,1.02672,0.009505,0.009505,0.009505
6,2127.49,0.94909,1.56472,1.43811,1.09039,0.81367,0.40092,0.44419,0.33705,0.80974,0.39642,0.43926,0.30585,0.78418,1.26264,1.01474,0.98056,0.00938125,0.00938125,0.00938125
7,2471.28,0.90357,1.4797,1.3007,1.0654,0.86695,0.41158,0.46623,0.35853,0.86425,0.40826,0.46278,0.32826,0.75814,1.22138,0.95801,0.97511,0.0092575,0.0092575,0.0092575
8,2816.45,0.86996,1.42763,1.21988,1.05017,0.87599,0.42631,0.48908,0.36976,0.87423,0.42488,0.48308,0.34495,0.72243,1.17673,0.90605,0.95119,0.00913375,0.00913375,0.00913375
9,3162.62,0.83883,1.37427,1.16337,1.03529,0.86637,0.44348,0.53567,0.40511,0.86266,0.4391,0.529,0.3816,0.67299,1.13707,0.84113,0.92636,0.00901,0.00901,0.00901
10,3507.02,0.81792,1.32602,1.10822,1.02451,0.78678,0.4848,0.57499,0.42788,0.78518,0.48278,0.57185,0.40093,0.70458,1.16262,0.85056,0.9511,0.00888625,0.00888625,0.00888625
11,3851.06,0.80156,1.31175,1.08198,1.01744,0.80388,0.47543,0.56796,0.45148,0.80278,0.47404,0.56515,0.41697,0.64485,1.06622,0.80711,0.91433,0.0087625,0.0087625,0.0087625
12,4195.51,0.76963,1.26127,1.01884,1.00652,0.65747,0.5973,0.63137,0.47887,0.72076,0.59676,0.62767,0.43551,0.62278,1.03023,0.77204,0.90411,0.00863875,0.00863875,0.00863875
13,4540.5,0.76185,1.25227,1.00337,1.00381,0.74865,0.56964,0.62031,0.49237,0.74756,0.56821,0.62035,0.46518,0.63324,1.00571,0.74747,0.90091,0.008515,0.008515,0.008515
14,4885.17,0.74649,1.21483,0.97499,0.99144,0.69956,0.57955,0.61626,0.49252,0.69654,0.5789,0.61318,0.46643,0.60621,0.97464,0.71145,0.8964,0.00839125,0.00839125,0.00839125
15,5229.2,0.73119,1.19458,0.94331,0.98766,0.65241,0.61647,0.66335,0.5216,0.65267,0.61681,0.65306,0.48719,0.58584,0.94184,0.67702,0.88404,0.0082675,0.0082675,0.0082675
16,5574.41,0.72078,1.18419,0.9269,0.98603,0.78885,0.57719,0.65551,0.51313,0.79018,0.57871,0.65627,0.48831,0.57498,0.93945,0.66515,0.88088,0.00814375,0.00814375,0.00814375
17,5921.88,0.71404,1.16885,0.90847,0.98108,0.74753,0.62156,0.66485,0.53652,0.83989,0.58312,0.67109,0.50686,0.56444,0.93475,0.66911,0.87604,0.00802,0.00802,0.00802
18,6266.04,0.70504,1.14793,0.89529,0.97765,0.74487,0.63998,0.695,0.56342,0.7494,0.64496,0.69619,0.52702,0.54281,0.90505,0.63161,0.86216,0.00789625,0.00789625,0.00789625
19,6612.13,0.69241,1.13035,0.88114,0.97251,0.7631,0.60384,0.67531,0.54172,0.7833,0.60135,0.67524,0.51544,0.53873,0.89835,0.62144,0.85858,0.0077725,0.0077725,0.0077725
20,6957.78,0.69235,1.13456,0.87685,0.97255,0.77751,0.63327,0.68689,0.5622,0.77609,0.63258,0.68543,0.5381,0.53166,0.90544,0.6072,0.86166,0.00764875,0.00764875,0.00764875
21,7305.91,0.67384,1.09548,0.84516,0.96381,0.77255,0.59365,0.67086,0.54829,0.77205,0.59381,0.67192,0.5196,0.52221,0.88781,0.59635,0.8577,0.007525,0.007525,0.007525
22,7653.55,0.66271,1.08797,0.82296,0.96032,0.70097,0.63756,0.6693,0.54789,0.69974,0.63606,0.66689,0.52602,0.51234,0.87357,0.59003,0.85511,0.00740125,0.00740125,0.00740125
23,8000.37,0.66641,1.08328,0.8257,0.96137,0.78265,0.6366,0.70586,0.58756,0.78332,0.63733,0.70581,0.55517,0.5094,0.86277,0.58413,0.85072,0.0072775,0.0072775,0.0072775
24,8350.2,0.65731,1.07033,0.81651,0.95971,0.73568,0.67355,0.7074,0.5889,0.73661,0.67449,0.70687,0.55395,0.49994,0.83402,0.55687,0.8448,0.00715375,0.00715375,0.00715375
25,8700.15,0.65051,1.07337,0.80931,0.9548,0.81458,0.65737,0.76995,0.64462,0.81676,0.65929,0.77003,0.60134,0.50323,0.83524,0.55859,0.84873,0.00703,0.00703,0.00703
26,9048.31,0.64984,1.06253,0.79578,0.95623,0.70387,0.6961,0.6987,0.59053,0.70484,0.69592,0.70315,0.55661,0.48252,0.83105,0.54837,0.83992,0.00690625,0.00690625,0.00690625
27,9397.42,0.64083,1.05064,0.78943,0.95071,0.81875,0.55966,0.6843,0.57531,0.81842,0.56073,0.68385,0.54627,0.47004,0.80897,0.54306,0.83201,0.0067825,0.0067825,0.0067825
28,9747.33,0.63309,1.03394,0.77414,0.94736,0.71687,0.705,0.70405,0.59375,0.71674,0.70481,0.70303,0.56299,0.47371,0.80808,0.53273,0.83595,0.00665875,0.00665875,0.00665875
29,10096.3,0.6285,1.02137,0.76232,0.95018,0.79238,0.6482,0.70552,0.60219,0.79184,0.64762,0.7032,0.57028,0.46272,0.79321,0.52901,0.83354,0.006535,0.006535,0.006535
30,10448.2,0.62357,1.01966,0.75501,0.94499,0.7826,0.70655,0.73657,0.63135,0.78325,0.70672,0.73481,0.59438,0.46321,0.77668,0.51578,0.83183,0.00641125,0.00641125,0.00641125
31,10805.4,0.61628,1.00411,0.74258,0.94163,0.759,0.70209,0.72967,0.60891,0.7582,0.70133,0.72807,0.57628,0.46017,0.77791,0.51063,0.83186,0.0062875,0.0062875,0.0062875
32,11156.2,0.60703,0.99053,0.72975,0.93933,0.7147,0.67253,0.71814,0.61181,0.71364,0.6719,0.71662,0.58018,0.45569,0.77679,0.50837,0.82954,0.00616375,0.00616375,0.00616375
33,11506.6,0.60828,0.99399,0.72969,0.93607,0.82452,0.69761,0.75075,0.64448,0.82475,0.69785,0.74737,0.60872,0.44545,0.77906,0.51183,0.82328,0.00604,0.00604,0.00604
34,11856.5,0.61039,0.99499,0.71985,0.94198,0.79391,0.67265,0.73755,0.63064,0.79511,0.67279,0.73621,0.59096,0.44397,0.76819,0.50976,0.82667,0.00591625,0.00591625,0.00591625
35,12203.5,0.59964,0.98223,0.71599,0.93601,0.86307,0.64023,0.75448,0.64199,0.86382,0.641,0.75343,0.60763,0.44014,0.77414,0.49246,0.82501,0.0057925,0.0057925,0.0057925
36,12549.3,0.59341,0.96864,0.70473,0.93405,0.72243,0.69848,0.73173,0.63074,0.72999,0.70542,0.73756,0.59838,0.4416,0.76693,0.49162,0.82672,0.00566875,0.00566875,0.00566875
37,12898.3,0.5885,0.95944,0.69942,0.93311,0.67348,0.71812,0.74889,0.64893,0.67432,0.71773,0.74707,0.61103,0.43475,0.74913,0.48913,0.82249,0.005545,0.005545,0.005545
38,13245.7,0.58898,0.95228,0.69862,0.93215,0.67652,0.73558,0.7575,0.65655,0.67689,0.73592,0.75551,0.62522,0.43185,0.75457,0.48553,0.81728,0.00542125,0.00542125,0.00542125
39,13595.2,0.58365,0.95839,0.69693,0.93045,0.80832,0.68362,0.73207,0.63,0.82779,0.66855,0.73145,0.60118,0.43234,0.74399,0.48113,0.82077,0.0052975,0.0052975,0.0052975
40,13950.6,0.57966,0.94605,0.68348,0.9302,0.77465,0.69827,0.7568,0.65099,0.77473,0.6984,0.75656,0.62475,0.42547,0.74557,0.47775,0.81948,0.00517375,0.00517375,0.00517375
41,14299.8,0.57307,0.93863,0.67189,0.92697,0.73931,0.72339,0.76339,0.65867,0.74025,0.72436,0.76199,0.62634,0.42041,0.73744,0.47722,0.82072,0.00505,0.00505,0.00505
42,14648.8,0.57027,0.94332,0.66444,0.92535,0.68268,0.75472,0.75053,0.64534,0.68573,0.73736,0.74364,0.61305,0.41562,0.74174,0.47001,0.81578,0.00492625,0.00492625,0.00492625
43,14999.2,0.56439,0.92625,0.66832,0.92436,0.78103,0.69871,0.76551,0.6492,0.77312,0.69163,0.75312,0.62133,0.41645,0.74028,0.47228,0.81345,0.0048025,0.0048025,0.0048025
44,15350.9,0.56145,0.91357,0.65729,0.92121,0.72546,0.7741,0.78015,0.66949,0.72548,0.7741,0.77619,0.64631,0.41536,0.73491,0.47104,0.81578,0.00467875,0.00467875,0.00467875
45,15698.3,0.56127,0.91965,0.64813,0.92007,0.73328,0.75189,0.78091,0.6798,0.7341,0.75276,0.77798,0.64144,0.41615,0.72761,0.46517,0.81711,0.004555,0.004555,0.004555
46,16047.4,0.55086,0.90945,0.64023,0.91595,0.69548,0.78282,0.78246,0.67241,0.69038,0.77554,0.77194,0.63838,0.4114,0.7386,0.46254,0.81429,0.00443125,0.00443125,0.00443125
47,16396.1,0.55547,0.90288,0.64296,0.91965,0.72479,0.76427,0.78182,0.67031,0.71943,0.7572,0.77298,0.63871,0.40823,0.73596,0.46445,0.8126,0.0043075,0.0043075,0.0043075
48,16744.9,0.54906,0.89398,0.63268,0.91703,0.65929,0.76303,0.78172,0.67254,0.65404,0.75629,0.76806,0.63898,0.40747,0.72998,0.46386,0.81052,0.00418375,0.00418375,0.00418375
49,17093.8,0.54825,0.89522,0.62494,0.91609,0.65456,0.76414,0.75546,0.65221,0.64673,0.758,0.7416,0.61803,0.40632,0.73558,0.46771,0.81106,0.00406,0.00406,0.00406
50,17440.5,0.53997,0.88339,0.62169,0.91322,0.65871,0.78188,0.74924,0.65462,0.66751,0.74746,0.74408,0.61651,0.40436,0.73457,0.46456,0.81054,0.00393625,0.00393625,0.00393625
51,17788.7,0.54155,0.88201,0.61556,0.91304,0.7014,0.73891,0.75505,0.66632,0.7019,0.73888,0.74968,0.62476,0.4024,0.7265,0.46178,0.80906,0.0038125,0.0038125,0.0038125
52,18136.4,0.5336,0.85755,0.60666,0.90785,0.71307,0.73758,0.76049,0.66809,0.71279,0.7373,0.75542,0.62806,0.4013,0.72926,0.45885,0.80892,0.00368875,0.00368875,0.00368875
53,18485.4,0.5287,0.86654,0.60113,0.91039,0.71548,0.7387,0.76091,0.66738,0.716,0.7389,0.75502,0.62148,0.40142,0.72529,0.46057,0.80859,0.003565,0.003565,0.003565
54,18836.1,0.52671,0.86644,0.59968,0.90835,0.71222,0.72871,0.76196,0.66962,0.71237,0.72892,0.75556,0.62219,0.3992,0.72487,0.45784,0.80781,0.00344125,0.00344125,0.00344125
55,19186.2,0.52584,0.85658,0.59483,0.9082,0.68746,0.74807,0.76347,0.67374,0.68754,0.74817,0.75672,0.62616,0.39693,0.71875,0.45424,0.80763,0.0033175,0.0033175,0.0033175
56,19549.6,0.52057,0.85205,0.58681,0.90675,0.71689,0.77341,0.77193,0.67531,0.71805,0.77366,0.76601,0.63261,0.39531,0.71199,0.45185,0.80675,0.00319375,0.00319375,0.00319375
57,19922.5,0.51916,0.84698,0.58311,0.90676,0.71117,0.77584,0.78747,0.68982,0.71135,0.77604,0.7824,0.64661,0.39401,0.70716,0.45173,0.80588,0.00307,0.00307,0.00307
58,20291,0.51328,0.84048,0.57998,0.90374,0.73805,0.7759,0.77126,0.67318,0.73929,0.77616,0.76673,0.63394,0.39357,0.70726,0.44803,0.80487,0.00294625,0.00294625,0.00294625
59,20668.7,0.51335,0.83668,0.57034,0.90301,0.74518,0.76774,0.77055,0.67324,0.7467,0.76859,0.7677,0.63659,0.39154,0.70361,0.44645,0.80377,0.0028225,0.0028225,0.0028225
60,21039,0.49983,0.82386,0.55775,0.89772,0.74864,0.78205,0.76801,0.67247,0.7492,0.78263,0.76503,0.63624,0.39138,0.70275,0.44393,0.80385,0.00269875,0.00269875,0.00269875
61,21409.4,0.50268,0.81577,0.55589,0.89752,0.74339,0.78063,0.76536,0.67223,0.74383,0.78112,0.76243,0.63492,0.38978,0.70362,0.44289,0.80216,0.002575,0.002575,0.002575
62,21778.9,0.49403,0.81637,0.54894,0.89533,0.73618,0.75452,0.76714,0.67333,0.73723,0.75559,0.76454,0.63981,0.38926,0.70449,0.44329,0.80176,0.00245125,0.00245125,0.00245125
63,22147.4,0.49675,0.81303,0.54764,0.90034,0.74474,0.75237,0.76839,0.67348,0.74639,0.7532,0.76607,0.6405,0.38809,0.70442,0.44223,0.80139,0.0023275,0.0023275,0.0023275
64,22518.4,0.49751,0.81387,0.53993,0.89695,0.75168,0.74871,0.76989,0.67582,0.75274,0.74978,0.76794,0.64308,0.38762,0.70008,0.44275,0.80092,0.00220375,0.00220375,0.00220375
65,22889.9,0.49348,0.8082,0.5383,0.89578,0.75279,0.74686,0.77148,0.67895,0.75385,0.74793,0.76947,0.64558,0.38737,0.69937,0.44244,0.80054,0.00208,0.00208,0.00208
66,23258.6,0.48954,0.80218,0.53242,0.89291,0.75673,0.74467,0.77559,0.68228,0.7578,0.74574,0.77387,0.64816,0.38744,0.69837,0.44336,0.80047,0.00195625,0.00195625,0.00195625
67,23632.1,0.47941,0.79469,0.52552,0.8929,0.75104,0.77781,0.79219,0.69661,0.75167,0.77709,0.79048,0.66198,0.38701,0.69596,0.44383,0.80087,0.0018325,0.0018325,0.0018325
68,24003.1,0.48117,0.79212,0.51853,0.89287,0.75087,0.78427,0.79284,0.69836,0.75149,0.78361,0.79084,0.66309,0.38691,0.69531,0.44375,0.80113,0.00170875,0.00170875,0.00170875
69,24373.4,0.47718,0.78192,0.51672,0.89009,0.75543,0.78508,0.79612,0.6982,0.75602,0.78414,0.79352,0.66657,0.3862,0.69439,0.44364,0.80096,0.001585,0.001585,0.001585
70,24739.1,0.47478,0.78535,0.50904,0.89024,0.76102,0.78143,0.7968,0.69891,0.76436,0.7789,0.79405,0.66553,0.38545,0.69478,0.44264,0.80049,0.00146125,0.00146125,0.00146125
71,25077.4,0.40522,0.66855,0.39449,0.86965,0.76857,0.77591,0.79762,0.70047,0.76954,0.77637,0.79551,0.66802,0.38503,0.693,0.44339,0.80049,0.0013375,0.0013375,0.0013375
72,25414.3,0.39742,0.64686,0.38049,0.86606,0.77921,0.77478,0.79818,0.70144,0.77972,0.77533,0.79591,0.66845,0.3844,0.69235,0.44352,0.80034,0.00121375,0.00121375,0.00121375
73,25746.9,0.39263,0.63888,0.37353,0.86649,0.78285,0.77077,0.79821,0.70199,0.78336,0.77132,0.79519,0.6705,0.38403,0.69191,0.4447,0.80006,0.00109,0.00109,0.00109
74,26081.7,0.38343,0.62893,0.36498,0.86115,0.78543,0.76803,0.79511,0.7012,0.78595,0.76858,0.7921,0.66751,0.38328,0.69141,0.44456,0.79959,0.00096625,0.00096625,0.00096625
