epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6522,1.39658,3.7659,3.82187,1.45756,0.82251,0.13435,0.13432,0.09877,0.80804,0.1189,0.11095,0.0541,1.31341,3.28338,2.33702,1.5278,0.000132616,0.000132616,0.000132616
2,168.363,1.26431,3.24898,2.30556,1.39719,0.70419,0.18697,0.18147,0.13381,0.68574,0.17046,0.14865,0.06942,1.20614,3.18038,1.74632,1.4541,0.000264633,0.000264633,0.000264633
3,247.082,1.19301,3.14815,1.87155,1.35041,0.6009,0.21402,0.21723,0.15855,0.5784,0.19825,0.17985,0.08269,1.19817,3.10068,1.57527,1.44525,0.00039533,0.00039533,0.00039533
4,326.791,1.17103,3.07181,1.72291,1.34525,0.5889,0.22413,0.25299,0.17771,0.55944,0.2023,0.21172,0.09976,1.20086,3.10174,1.57594,1.4597,0.00039406,0.00039406,0.00039406
5,408.137,1.14403,3.0558,1.56452,1.3259,0.46547,0.30865,0.27554,0.20209,0.44055,0.26913,0.22289,0.10818,1.20198,3.04566,1.472,1.45253,0.00039208,0.00039208,0.00039208
6,490.685,1.12374,3.01676,1.51052,1.30982,0.4493,0.31709,0.2705,0.19939,0.43478,0.28041,0.22579,0.1078,1.17723,3.04757,1.58264,1.43124,0.0003901,0.0003901,0.0003901
7,570.205,1.09802,2.97381,1.39771,1.29177,0.68999,0.31876,0.36076,0.28107,0.67919,0.29724,0.31464,0.15633,1.12334,3.03265,1.30702,1.39353,0.00038812,0.00038812,0.00038812
8,649.848,1.08424,2.96267,1.35803,1.28455,0.50964,0.3827,0.36144,0.27256,0.48066,0.35294,0.31301,0.15842,1.10081,3.05975,1.3196,1.37642,0.00038614,0.00038614,0.00038614
9,728.511,1.065,2.93583,1.30726,1.27396,0.6212,0.31662,0.33061,0.25403,0.58306,0.28941,0.28458,0.1343,1.14258,2.98017,1.3688,1.39039,0.00038416,0.00038416,0.00038416
10,807.793,1.05651,2.91715,1.27608,1.27298,0.49181,0.4182,0.38991,0.29594,0.46346,0.38978,0.34181,0.17986,1.08215,2.94938,1.26566,1.36244,0.00038218,0.00038218,0.00038218
11,886.492,1.04758,2.88698,1.22248,1.25978,0.51172,0.35359,0.35245,0.26621,0.48695,0.33176,0.30783,0.15189,1.0979,2.93877,1.30379,1.37281,0.0003802,0.0003802,0.0003802
12,964.355,1.03142,2.87635,1.17305,1.25083,0.46579,0.42257,0.38302,0.29673,0.44293,0.39283,0.33351,0.17401,1.07296,2.90295,1.21963,1.3483,0.00037822,0.00037822,0.00037822
13,1044.21,1.02975,2.88066,1.15871,1.2511,0.56087,0.41977,0.41755,0.30971,0.53135,0.38663,0.36251,0.18667,1.10718,2.92811,1.24259,1.36747,0.00037624,0.00037624,0.00037624
14,1123.08,1.02382,2.85656,1.1289,1.24435,0.71754,0.38393,0.43769,0.3396,0.76697,0.34912,0.38046,0.19637,1.09535,2.96065,1.20252,1.3837,0.00037426,0.00037426,0.00037426
15,1204.64,1.02015,2.86391,1.11873,1.25116,0.75022,0.37425,0.43156,0.32982,0.72283,0.35422,0.38533,0.18467,1.09791,2.93499,1.22259,1.37774,0.00037228,0.00037228,0.00037228
16,1285.92,1.01511,2.8309,1.08821,1.23952,0.7004,0.38414,0.41947,0.31561,0.65562,0.34696,0.34676,0.17959,1.08352,2.90432,1.19815,1.36681,0.0003703,0.0003703,0.0003703
