epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.694,1.26664,2.83806,3.59532,1.40093,0.63374,0.17587,0.1665,0.1277,0.62976,0.16811,0.15879,0.11033,1.15032,2.35681,2.27639,1.31126,0.00332897,0.00332897,0.00332897
2,673.198,1.13102,2.34473,2.26986,1.2769,0.58667,0.35094,0.38017,0.29639,0.57691,0.34556,0.36135,0.23809,1.12189,2.40011,1.74299,1.28031,0.00660641,0.00660641,0.00660641
3,1004.02,1.14652,2.30583,1.95392,1.2667,0.72731,0.40925,0.44374,0.3313,0.71703,0.39523,0.42039,0.26835,1.18363,2.58367,1.66329,1.32218,0.00982791,0.00982791,0.00982791
4,1333.97,1.16143,2.28721,1.7967,1.26583,0.72935,0.46449,0.52928,0.39851,0.72363,0.45099,0.50693,0.34632,1.09324,2.23546,1.38381,1.26366,0.00974831,0.00974831,0.00974831
5,1663.73,1.07811,2.13813,1.52934,1.21071,0.69826,0.47677,0.55722,0.43691,0.67564,0.46774,0.5411,0.38212,1.00596,2.02635,1.24771,1.18361,0.00966441,0.00966441,0.00966441
6,1998.84,1.03838,2.06524,1.38514,1.18489,0.76746,0.51856,0.60678,0.47433,0.75521,0.50845,0.59067,0.42186,0.97796,1.8945,1.11296,1.16249,0.00958051,0.00958051,0.00958051
7,2332.03,0.99112,1.96869,1.2453,1.16013,0.75816,0.56054,0.63869,0.51003,0.74902,0.55481,0.62679,0.44423,0.90913,1.79003,0.98919,1.13437,0.00949661,0.00949661,0.00949661
8,2664.22,0.9569,1.90849,1.15826,1.13957,0.77965,0.59066,0.64894,0.52088,0.7701,0.57854,0.63246,0.45337,0.89725,1.78243,0.94066,1.0999,0.00941271,0.00941271,0.00941271
9,2997.51,0.92933,1.84496,1.0801,1.12037,0.8026,0.57077,0.65959,0.53937,0.78016,0.55914,0.63826,0.47405,0.83745,1.69456,0.89479,1.06817,0.00932881,0.00932881,0.00932881
10,3328.56,0.90813,1.80638,1.03847,1.11097,0.82407,0.59575,0.67938,0.55213,0.81529,0.58883,0.6665,0.49031,0.83883,1.67477,0.8578,1.07237,0.00924492,0.00924492,0.00924492
