epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.3624,1.39658,3.7659,3.82187,1.45756,0.82251,0.13435,0.13432,0.09877,0.80804,0.1189,0.11095,0.0541,1.31341,3.28338,2.33702,1.5278,0.000132616,0.000132616,0.000132616
2,165.793,1.26424,3.24659,2.30194,1.39729,0.63957,0.19299,0.18174,0.13252,0.60973,0.17367,0.14565,0.06945,1.18487,3.14047,1.72875,1.44514,0.000261562,0.000261562,0.000261562
3,245.748,1.18996,3.14667,1.86952,1.34756,0.60114,0.24101,0.21267,0.15832,0.58334,0.2169,0.17406,0.07945,1.17092,3.15638,1.63016,1.4239,0.000386107,0.000386107,0.000386107
4,324.834,1.16964,3.06646,1.72623,1.34307,0.62526,0.24355,0.22531,0.16204,0.60521,0.21092,0.18384,0.08296,1.22183,3.14521,1.58837,1.47055,0.0003802,0.0003802,0.0003802
5,403.909,1.14367,3.04684,1.58005,1.32561,0.45627,0.26074,0.24972,0.18045,0.42522,0.21803,0.20942,0.09631,1.18771,3.0821,1.48764,1.44031,0.0003736,0.0003736,0.0003736
6,483.656,1.11569,3.01123,1.51403,1.30683,0.43825,0.32131,0.28101,0.20604,0.41536,0.26882,0.23192,0.11481,1.15706,3.00722,1.48788,1.41999,0.000367,0.000367,0.000367
7,562.221,1.0928,2.96752,1.38631,1.29015,0.45133,0.34287,0.27786,0.20781,0.4248,0.31353,0.23124,0.1076,1.13101,3.01347,1.45551,1.40295,0.0003604,0.0003604,0.0003604
8,641.841,1.07372,2.95477,1.35048,1.28018,0.51074,0.39472,0.34101,0.2611,0.48744,0.35198,0.28896,0.14623,1.0903,3.01222,1.32325,1.37533,0.0003538,0.0003538,0.0003538
9,720.355,1.06006,2.92543,1.29881,1.26981,0.63329,0.34939,0.36881,0.27813,0.60243,0.3259,0.31838,0.16488,1.11757,2.9599,1.30706,1.38376,0.0003472,0.0003472,0.0003472
10,799.831,1.04831,2.90924,1.26153,1.26847,0.58519,0.35732,0.39176,0.30047,0.55671,0.33082,0.3401,0.17065,1.05392,2.91374,1.25671,1.33982,0.0003406,0.0003406,0.0003406
